,no-people,people
1250,20.111,20.089
1251,19.765,20.404
1252,18.15,20.398
1253,19.984,16.727
1254,19.033,17.272
1255,19.547,21.885
1256,18.726,21.115
1257,19.448,20.196
1258,19.617,17.346
1259,19.157,17.969
1260,19.833,20.804
1261,19.676,20.994
1262,18.652,20.209
1263,18.363,21.832
1264,19.157,18.984
1265,19.404,19.055
1266,18.889,18.063
1267,18.943,20.258
1268,19.561,17.69
1269,20.118,17.234
1270,19.903,19.215
1271,19.813,15.105
1272,20.137,17.433
1273,18.238,15.632
1274,19.043,17.104
1275,19.779,18.074
1276,17.061,18.56
1277,17.231,17.604
1278,19.966,16.373
1279,17.818,19.015
1280,16.611,18.364
1281,18.566,16.217
1282,18.447,17.238
1283,19.13,19.113
1284,18.735,19.6
1285,16.286,18.868
1286,19.173,16.377
1287,19.793,18.939
1288,18.071,19.78
1289,19.795,19.667
1290,19.468,18.67
1291,16.924,20.853
1292,18.683,21.312
1293,17.324,17.515
1294,18.294,20.685
1295,17.479,21.502
1296,17.446,17.91
1297,19.405,19.83
1298,18.814,20.726
1299,19.286,19.325
1300,16.833,22.663
1301,17.089,19.148
1302,19.867,19.004
1303,18.745,18.951
1304,19.03,20.708
1305,22.207,19.851
1306,18.992,17.231
1307,19.006,17.262
1308,18.298,18.77
1309,19.355,17.576
1310,18.97,16.467
1311,18.439,15.053
1312,22.076,19.216
1313,18.848,18.039
1314,19.528,17.356
1315,20.827,20.575
1316,17.706,20.688
1317,18.661,23.37
1318,19.085,21.249
1319,19.069,22.127
1320,19.786,21.051
1321,17.996,19.768
1322,18.345,19.298
1323,18.463,21.429
1324,19.932,21.017
1325,19.407,19.701
1326,18.831,21.794
1327,19.679,18.84
1328,19.894,19.603
1329,17.811,19.244
1330,19.019,20.512
1331,17.282,21.773
1332,16.459,19.801
1333,18.701,21.368
1334,20.056,19.796
1335,18.174,20.844
1336,18.587,20.089
1337,18.794,21.162
1338,17.125,20.721
1339,19.915,21.372
1340,18.914,20.218
1341,19.2,19.455
1342,17.016,19.296
1343,19.999,20.376
1344,17.417,17.338
1345,19.161,21.251
1346,16.487,17.028
1347,19.496,19.014
1348,20.312,22.134
1349,18.35,17.971
1350,17.788,21.253
1351,18.522,19.199
1352,17.719,18.562
1353,22.064,20.635
1354,19.282,20.368
1355,17.944,20.909
1356,16.925,19.749
1357,19.812,20.832
1358,19.329,21.721
1359,17.317,20.151
